Population	NSites	Estimate	Value	ID
C_3523	212057193	Watterson_Theta	6.84195934139057e-4	PopGen
C_3525	212084315	Watterson_Theta	7.23995262897828e-4	PopGen
C_3780	211044638	Watterson_Theta	8.19393186044703e-4	PopGen
C_3800	212056048	Watterson_Theta	7.29514689115494e-4	PopGen
C_3803	212555422	Watterson_Theta	7.0812815177995e-4	PopGen
C_3822	211878696	Watterson_Theta	8.0283690532126e-4	PopGen
C_3824	212018419	Watterson_Theta	7.48923902245702e-4	PopGen
C_3828	211880086	Watterson_Theta	7.27213083773576e-4	PopGen
C_3841	212232912	Watterson_Theta	7.17150821334109e-4	PopGen
C_3858	207118648	Watterson_Theta	4.40123069792502e-4	PopGen
C_3862	213700504	Watterson_Theta	8.12816948832935e-4	PopGen
C_3867	212551260	Watterson_Theta	7.8655284468085e-4	PopGen
C_3870	206824931	Watterson_Theta	5.75324050365801e-4	PopGen
C_3145	212591666	Tajima_D	1.54922089439801	PopGen
C_3152	211256851	Tajima_D	1.58561002504078	PopGen
C_3154	211340706	Tajima_D	1.54477141934088	PopGen
C_3155	211399945	Tajima_D	1.52996735009966	PopGen
C_3156	209514409	Tajima_D	1.49393313526778	PopGen
C_3160	211707668	Tajima_D	1.53201493859961	PopGen
C_3162	205993961	Tajima_D	2.32185998312129	PopGen
C_3163	212196877	Tajima_D	1.60273864415368	PopGen
C_3164	211963556	Tajima_D	1.57211875205066	PopGen
C_3165	212199381	Tajima_D	1.52169256823111	PopGen
C_3169	213417778	Tajima_D	1.92041561396953	PopGen
C_3172	211897540	Tajima_D	1.51958601025411	PopGen
C_3173	212197072	Tajima_D	1.51689591995971	PopGen
C_3175	212255357	Tajima_D	1.55555345413778	PopGen
C_3498	212297215	Tajima_D	1.50025346341438	PopGen
C_3504	212021989	Tajima_D	1.51899567572959	PopGen
C_3505	211461140	Tajima_D	1.65466973566076	PopGen
C_3507	210702514	Tajima_D	1.56110036404029	PopGen
C_3508	207095345	Tajima_D	2.32507956430965	PopGen
C_3510	205994257	Tajima_D	2.24710458048808	PopGen
C_3516	212035351	Tajima_D	1.53132681455311	PopGen
C_3517	211712398	Tajima_D	1.55470516131482	PopGen
C_3518	210713899	Tajima_D	1.43465975152961	PopGen
C_3519	212561958	Tajima_D	1.52718409928005	PopGen
C_3520	211894018	Tajima_D	1.57452524571183	PopGen
C_3521	212186250	Tajima_D	1.55444995521462	PopGen
C_3522	211856750	Tajima_D	1.53012508401808	PopGen
C_3523	212057193	Tajima_D	1.55408212747327	PopGen
C_3525	212084315	Tajima_D	1.5250430140265	PopGen
C_3780	211044638	Tajima_D	1.49219532276925	PopGen
C_3800	212056048	Tajima_D	1.60953740116552	PopGen
C_3803	212555422	Tajima_D	1.6168253424954	PopGen
C_3822	211878696	Tajima_D	1.5437571748292	PopGen
C_3824	212018419	Tajima_D	1.54876437882762	PopGen
C_3828	211880086	Tajima_D	1.55880801419241	PopGen
C_3841	212232912	Tajima_D	1.60520367865457	PopGen
C_3858	207118648	Tajima_D	2.29967509420586	PopGen
C_3862	213700504	Tajima_D	1.85680247384313	PopGen
C_3867	212551260	Tajima_D	1.59212415085524	PopGen
C_3870	206824931	Tajima_D	2.3235395364156	PopGen
