Individual ID;Latitude (°);Longitude (°);Collection date;Herbarium/ Collector;Sample age class;Extraction method;Lib prep method;Sequencing platform and chemistry;SRA accession code;Spatial group assignment;Population assignmnent;reason if excluded from final analysis;note
bg-51;40,644653;-73,695188;1915;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412472, ERR7412464;NY/NJ;East;;
bg-56;25,142278;-80,924363;1905;NY;Herbarium;Martin et al., 2014;NEBNext (Bieker et al., 2020);HiSeq4000 PE150;ERR3597211;diffuse;South;;
bg-6;27,242787;-80,828018;1913;NY;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412504;FL South;South;;
bg-63;39,300651;-96,831021;1895;NY;Herbarium;Martin et al., 2014;BEST (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412500;diffuse;West;;
bg-72;40,449468;-74,385538;1891;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412489, ERR7412485;diffuse;East;;
bg-73;39,085657;-94,584403;1895;NY;Herbarium;Martin et al., 2014;BEST (Bieker et al., 2020);HiSeq4000 PE150, HiSeqX PE150;ERR3597214, ERR7385342;diffuse;West;;
bg-74;38,397725;-86,931782;1923;NY;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412497;diffuse;Mideast;;
bg-77;40,729477;-73,634863;1919;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412491, ERR7412488;NY/NJ;East;;
bg-81;40,874753;-73,457022;1919;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412494, ERR7412490;NY/NJ;East;;
bg-83;40,740286;-74,002762;1899;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412480, ERR7412479;NY/NJ;East;;
bg-90;42,959268;-77,057004;1894;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412476, ERR7412475;diffuse;East;;
bg-96;43,379426;-76,150074;1920;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412478, ERR7412477;diffuse;East;;
BR-1;52,196746;10,468589;1887;BR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385303, ERR7385302;diffuse;Europe;;
BR-3;44,727958;22,395114;1911;BR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385339, ERR7385330;Orsova, Romania;Europe (Mideast);;
BR-5;49,417984;1,051403;1934;BR;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385309, ERR7385311;diffuse;Europe (Mideast);;
BRNU-1;48,941389;16,631111;1969;BRNU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385324, ERR7385363;CR Brno;Europe;;
BRNU-3;49,346935;16,418393;1971;BRNU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385323, ERR7385320;CR Brno;Europe;;
BRNU6-1948;48,98277778;17,40277778;1948;BRNU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385312, ERR7385313;CR Brno;Europe (Mideast);;
C-1;55,082877;10,690763;1865;C;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385321, ERR7385316;diffuse;Europe (Mideast);;
C-11;55,245806;11,746402;1897;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385314, ERR7385328;diffuse;Europe (Mideast);;
C-13;55,061221;15,071784;1901;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385307, ERR7385305;diffuse;Europe (East);;
C-14B;56,45262;9,398121;1902;C;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385301, ERR7385300;diffuse;Europe (East);;
C-15;55,066157;10,607936;1907;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385304, ERR7385306;diffuse;Europe (West);;
C-17;55,403284;10,403451;1910;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385315;diffuse;Europe (West);;
C-18;55,463268;8,582725;1911;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385308, ERR7385310;diffuse;Europe (Mideast);;
C-19;55,475379;8,459085;1913;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385319, ERR7385329;diffuse;Europe (West);;
C-2;55,245806;11,746402;1894;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385325, ERR7385327;diffuse;Europe (Mideast);;
C-23;52,481276;13,83781;1928;C;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385317, ERR7385318;-;-;different species or hybrid;
C-29;55,442211;11,792284;1917;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385332, ERR7385334;diffuse;Europe (West);;
C-5;55,245806;11,746402;1897;C;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385401, ERR7385402;diffuse;Europe (Mideast);;
C-8;55,245806;11,746402;1897;C;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385322, ERR7385326;diffuse;Europe (Mideast);;
DB_27328;51,951486;14,695565;1932;B;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385331, ERR7385333;diffuse;Europe (East);;
DB_27333;44,464238;8,894184;1935;B;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385347, ERR7385346;diffuse;Europe (West);;
DB_27334;44,464238;8,894184;1935;B;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385421, ERR7385353;diffuse;Europe (West);;
DB_27336;47,269212;11,404102;1883;B;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385352, ERR7385349;AU Innsbruck;Europe (Mideast);;
DB_27337;46,270303;3,800839;1880;B;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385335, ERR7385340;FR Lyon 2: Caluire;Europe (Mideast);;
DB_27340;51,339695;12,373075;1940;B;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385341, ERR7385337;diffuse;Europe;;
FI-12;44,359553;8,577485;1934;FI;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385338, ERR7385336;-;-;related to other sample;
FI-13;44,464161;8,894254;1934;FI;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385350, ERR7385365;diffuse;Europe (West);;
FI-14;44,464161;8,894254;1934;FI;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385354, ERR7385368;diffuse;Europe (West);;
FI-17;44,359553;8,577485;1936;FI;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385345, ERR7385364;diffuse;Europe (West);;
FI-18A;45,460229;9,18924;1938;FI;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385355, ERR7385351;-;-;different species or hybrid;
FI-1A;45,996313;3,981488;1877;FI;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385343, ERR7385344;FR Lyon 2: Caluire;Europe;;
FI-1B;45,996313;3,981488;1877;FI;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7385393;FR Lyon 2: Caluire;Europe;;
FI-1D;45,996313;3,981488;1877;FI;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7385376;FR Lyon 2: Caluire;Europe;;
FI-2B;45,996313;3,981488;1877;FI;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385348, ERR7385369;FR Lyon 2: Caluire;Europe;;
FI-3A;45,589983;4,319169;1878;FI;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385388, ERR7385374;FR Lyon 1: St Galmier;Europe (Mideast);;
FI-3B;45,589983;4,319169;1878;FI;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385420, ERR7385360;-;-;related to FI-3A;
FI-6;47,409474;8,545287;1878;FI;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385357, ERR7385356;diffuse;Europe (Mideast);;
FI-7;46,416085;3,178518;1880;FI;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385358, ERR7385359;diffuse;Europe (Mideast);;
FI-8;47,269247;11,40447;1883;FI;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385367, ERR7385385;AU Innsbruck;Europe (Mideast);;
G-002;51,104524;11,458923;1905;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385384, ERR7385361;-;-;different species or hybrid;
G-006;46,049304;5,340726;1937;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385383, ERR7385370;-;-;different species or hybrid;
G-007;46,049304;5,340726;1936;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385377;-;-;different species or hybrid;
G-008;46,049304;5,340726;1936;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385362;-;-;different species or hybrid;
G-013;45,937861;5,890611;1923;G;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385414;diffuse;Europe (Mideast);;
G-015;44,101656;9,825164;1898;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385464, ERR7385366;-;-;different species or hybrid;
G-016;46,049304;5,340726;1936;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385382;-;-;different species or hybrid;
G-017;45,792498;4,858545;1901;G;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385372, ERR7385373;FR Lyon 1: St Galmier;Europe (Mideast);;
G-019;45,589983;4,319512;1883;G;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385386, ERR7385375;FR Lyon 1: St Galmier;Europe (Mideast);;
G-020;45,589983;4,319512;1883;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385371;FR Lyon 1: St Galmier;Europe (Mideast);;
G-021;45,589983;4,319512;1883;G;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385391, ERR7385394;FR Lyon 1: St Galmier;Europe (Mideast);;
G-022;45,589983;4,319512;1883;G;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385380, ERR7385454;FR Lyon 1: St Galmier;Europe (Mideast);;
G-026;48,6093;6,144565;1903;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385379, ERR7385378;diffuse;Europe (Mideast);;
G-027;45,792498;4,891434;1883;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385398, ERR7385381;FR Lyon 1: St Galmier;Europe (Mideast);;
G-029;44,899618;-0,51652;1930;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385392;FR Bordaux;Europe;;
G-032;43,334296;4,849724;1909;G;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385387, ERR7385452;FR Montpellier;Europe (Mideast);;
G-037;44,899618;-0,51652;1930;G;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385399;FR Bordaux;Europe;;
G-042;46,587522;3,308426;1889;G;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385403, ERR7385405;diffuse;Europe (Mideast);;
GOET-10;52,1967;10,468557;1884;GOET;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385417;diffuse;Europe;;
GOET-11;51,54128;9,915804;1896;GOET;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385389, ERR7385390;diffuse;Europe (Mideast);;
GOET-2;52,520007;13,404954;1872;GOET;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385396, ERR7385397;DE Berlin;Europe (Mideast);;
GOET-3;52,915455;12,799078;1874;GOET;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385395, ERR7385413;DE Berlin;Europe (Mideast);;
GOET-4;51,151445;12,887163;1874;GOET;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385400, ERR7385408;-;-;related to GOET-5 and GOET-6;
GOET-5;54,352025;18,646638;1874;GOET;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385411, ERR7385418;-;-;related to GOET-4 and GOET-6;
GOET-6;54,352025;18,646638;1874;GOET;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7385493;diffuse;Europe (East);;
GOET-7;52,547772;13,505335;1875;GOET;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385419, ERR7385407;DE Berlin;Europe (Mideast);;
GOET-8;52,216741;10,160721;1879;GOET;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385404, ERR7385406;diffuse;Europe (Mideast);;
GOET-9;48,135125;11,581981;1881;GOET;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385409, ERR7385410;AU Innsbruck;Europe (Mideast);;
GZU-1;44,89722222;8,843055556;1878;GZU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385453, ERR7385438;diffuse;Europe (Mideast);;
GZU-2;47,27139;11,38639;1883;GZU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385416, ERR7385412;-;-;related to DB_27336;
GZU-7;49,593779;17,253098;1934;GZU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385415, ERR7385435;CR Brno;Europe (Mideast);;
HBG-1;53,460779;9,983418;1931;HBG;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385430, ERR7385442;DE Hamburg;Europe (Mideast);;
HBG-11;53,59731;10,009204;1885;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385422, ERR7385455;DE Hamburg;Europe (East);;
HBG-12;53,59731;10,009204;1883;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385440, ERR7385439;DE Hamburg;Europe (East);;
HBG-14;53,59731;10,009204;1883;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385441;DE Hamburg;Europe (East);;
HBG-15;53,59731;10,009204;1883;HBG;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385426, ERR7385434;DE Hamburg;Europe (East);;
HBG-16;53,50223;9,9885;1914;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385431, ERR7385424;-;-;different species or hybrid;
HBG-19;53,50223;9,9885;1918;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385423, ERR7385425;-;-;different species or hybrid;
HBG-2;53,460779;9,983418;1918;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385445, ERR7385443;-;-;different species or hybrid;
HBG-21;53,50223;9,9885;1912;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385427, ERR7385429;-;-;different species or hybrid;
HBG-24;53,551085;9,993682;1885;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385428, ERR7385436;DE Hamburg;Europe (East);;
HBG-25;53,602162;9,837433;1933;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385444, ERR7385432;DE Hamburg;Europe (East);;
HBG-26;53,54742;10,025016;1875;HBG;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7385461;DE Hamburg;Europe (Mideast);;
HBG-27;53,49865;9,999076;1929;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385433, ERR7385437;-;-;different species or hybrid;
HBG-28;53,5783;10,016957;1885;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385463, ERR7385467;DE Hamburg;Europe (East);;
HBG-29;53,595684;9,87304;1932;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385446, ERR7385459;DE Hamburg;Europe (Mideast);;
HBG-37;52,915455;12,799078;1874;HBG;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7385456;DE Berlin;Europe (Mideast);;
HBG-39;53,751355;9,663252;1929;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385448, ERR7385447;DE Hamburg;Europe (Mideast);;
HBG-4;53,59731;10,009204;1885;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385472, ERR7385593;DE Hamburg;Europe (Mideast);;
HBG-41;45,590322;4,318391;1907;HBG;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385451, ERR7385457;FR Lyon 1: St Galmier;Europe (Mideast);;
HBG-42;45,590322;4,318391;1907;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385506;FR Lyon 1: St Galmier;Europe (Mideast);;
HBG-43;47,26814;11,368173;1883;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385470, ERR7385488;AU Innsbruck;Europe (Mideast);;
HBG-45A;46,146934;17,442648;1922;HBG;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385450, ERR7385449;diffuse;Europe;;
HBG-6;53,59731;10,009204;1885;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385484, ERR7385481;-;-;related to HBG-28 ;
HBG-9;53,59731;10,009204;1885;HBG;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385458, ERR7385473;-;-;related to HBG-4;
hu-10;44,267348;-68,569207;1913;NEBC;Herbarium;Martin et al., 2014;NEBNext (Bieker et al., 2020);HiSeq4000 PE150;ERR3597285;diffuse;East;;
hu-105;41,547278;-71,291499;1896;NEBC;Herbarium;Martin et al., 2014;NEBNext (Sánchez Barreiro et al., 2017);HiSeq4000 PE150, HiSeqX PE150;ERR3598121, ERR7385482;diffuse;East;;
hu-107;41,175185;-71,584954;1916;NEBC;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412493;diffuse;East;;
hu-126;41,553252;-70,614638;1906;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412508;diffuse;East;;
hu-130;42,32737;-71,095304;1911;GH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412483, ERR7412492;MA Boston;East;;
hu-135;41,830509;-71,41325;1844;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412543;diffuse;East;;
hu-138;41,847014;-71,351924;1903;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412559;diffuse;East;;
hu-147;44,742728;-65,512261;1921;GH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412501, ERR7412506;Nova Scotia West;East;;
hu-148;44,742728;-65,512261;1921;GH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412505, ERR7412498;Nova Scotia West;East;;
hu-162;48,357008;-107,871337;1900;GH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412486, ERR7412487;diffuse;West;;
hu-180;28,043622;-82,299042;1904;GH;Herbarium;Martin et al., 2014;NEBNext (Bieker et al., 2020);HiSeq4000 PE150;ERR3600992;diffuse;South;;
hu-183;42,030246;-93,626232;1896;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412517;IA Ames;West;;
hu-184;42,030246;-93,626232;1904;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412534;IA Ames;West;;
hu-195;26,655007;-81,873665;1900;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412526;diffuse;South;;
hu-196;30,409183;-88,884316;1900;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Barreiro et al., 2017);HiSeq4000 PE150, HiSeqX PE150;ERR3597291, ERR7385478;diffuse;Mideast;;
hu-202;40,117544;-88,207569;1900;GH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412520;diffuse;Mideast;;
hu-22;44,32596;-69,876595;1873;NEBC;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412529;diffuse;East;;
hu-40;44,374564;-71,610274;1919;NEBC;Herbarium;Martin et al., 2014;NEBNext (Bieker et al., 2020);HiSeq4000 PE150;ERR3597292;diffuse;East;;
hu-65;42,379166;-71,109409;1912;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412496, ERR7412499;-;-;different species or hybrid;
hu-66;42,461416;-71,349263;1908;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412503, ERR7412502;-;-;different species or hybrid;
hu-67;42,452417;-71,224766;1897;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412522, ERR7412509;-;-;different species or hybrid;
hu-68;42,427929;-71,065779;1880;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412527, ERR7412512;-;-;different species or hybrid;
hu-69;42,427929;-71,065779;1886;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412507, ERR7412511;-;-;different species or hybrid;
hu-7;44,873973;-67,569122;1931;NEBC;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412537;diffuse;East;;
hu-72;42,378126;-71,054306;1916;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412510, ERR7412514;MA Boston;East;;
hu-73;42,298853;-71,074347;1908;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412547, ERR7412545;MA Boston;East;;
hu-75;42,413648;-71,011219;1882;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412535, ERR7412519;-;-;different species or hybrid;
hu-80;42,255281;-71,067181;1918;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412555;MA Boston;East;;
hu-81;42,289069;-71,232319;1883;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412516, ERR7412515;MA Boston;East;;
hu-82;42,199606;-71,19936;1895;NEBC;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412513, ERR7412518;MA Boston;East;;
I-1;44,720979;22,364833;1965;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385476;Orsova, Romania;Europe (Mideast);;
I-2A;44,728206;22,394256;1962;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385465;Orsova, Romania;Europe (Mideast);;
I-2B;44,728206;22,394256;1962;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385460;Orsova, Romania;Europe (Mideast);;
I-2C;44,728206;22,394256;1962;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385469;Orsova, Romania;Europe (Mideast);;
I-3A;44,728206;22,394256;1948;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385462;Orsova, Romania;Europe (Mideast);;
I-3B;44,728206;22,394256;1948;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385486;Orsova, Romania;Europe (Mideast);;
I-3C;44,728206;22,394256;1948;I;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385490;Orsova, Romania;Europe (Mideast);;
IASI-1;44,728206;22,394256;1941;IASI;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385513;Orsova, Romania;Europe (Mideast);;
IASI-2A;44,629664;22,612781;1971;IASI;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385487;Orsova, Romania;Europe (Mideast);;
JE-11A;51,050409;13,737262;1895;JE;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385466, ERR7385468;diffuse;Europe (East);;
JE-12;54,804245;9,446382;1897;JE;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385471, ERR7385474;diffuse;Europe (Mideast);;
JE-14;52,481592;13,837397;1898;JE;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385475, ERR7385477;-;-;different species or hybrid;
JE-16;45,824508;4,954543;1912;JE;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385483, ERR7385498;FR Lyon 1: St Galmier;Europe (Mideast);;
JE-18A;51,664308;6,629568;1931;JE;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385480, ERR7385479;NL Appeldorn;Europe (Mideast);;
JE-18B;51,664308;6,629568;1931;JE;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385485, ERR7385497;NL Appeldorn;Europe (Mideast);;
JE-19;51,304189;6,762828;1931;JE;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385500, ERR7385505;NL Appeldorn;Europe (West);;
JE-1A;52,547772;13,505335;1875;JE;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385518, ERR7385492;DE Berlin;Europe (Mideast);;
JE-1B;52,547772;13,505335;1875;JE;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7460434;DE Berlin;Europe (Mideast);;
JE-1C;52,547772;13,505335;1875;JE;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385574, ERR7385495;DE Berlin;Europe (Mideast);;
JE-2;47,222;8,4978;1878;JE;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385494, ERR7385496;-;-;related to GZU-1;
JE-4;52,318465;9,360367;1882;JE;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385491, ERR7385489;diffuse;Europe (East);;
JE-5;47,269212;11,404102;1883;JE;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385502, ERR7385528;-;-;related to NAT-008;
JE-7;51,109579;15,590514;1883;JE;Herbarium;This study;This study (BEST);HiSeq4000 PE150, HiSeqX;ERR7385504;diffuse;Europe (Mideast);;
JE-8;52,1967;10,468557;1884;JE;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385501, ERR7385503;diffuse;Europe;;
