"SRA accession code","Individual ID","Latitude (°)","Longitude (°)","Collection date","Herbarium/ Collector","Sample age class","Extraction method","Lib prep method","Sequencing platform and chemistry","Spatial group assignment","Population assignmnent","reason if excluded from final analysis","note"
"ERR7445274","A-2010-T1-9",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445288","AA5-16",4621708,"-96,05019","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445306","AA5-9A",4621708,"-96,05019","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445311","A-2010-T1-8",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445330","A-2010-T1-3",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445339","AA7-11",4473800,"-95,41233","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445349","A-2010-T1-6",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445351","AR-6",3397552,"-91,41343","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7445353","AA7-24",4473800,"-95,41233","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445361","AR-7",3397552,"-91,41343","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7445368","AA7-12",4473800,"-95,41233","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445379","AR-2019-2",33841883,"-93,77575","2009/2010","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7445380","280808-1-17",4472490,"22,42060","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445383","AR-2019-1",33841883,"-93,77575","2009/2010","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7445405","B1-1",4787951,"18,15611","2014","SMARTER","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,"Aba, Slovakia. Collected 10/2/2014. Seeds provided by SMARTER. Grown from seeds in TRH greenhouses."
"ERR7445424","B3-1",4787951,"18,15611","2014","SMARTER","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,"Aba, Slovakia. Collected 10/2/2014. Seeds provided by SMARTER. Grown from seeds in TRH greenhouses."
"ERR7445430","AA20-26",4814689,"-103,57172","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445439","AA3-23",4819453,"-97,32856","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445443","AA7-27",4473800,"-95,41233","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445449","B-2",4490308,"-0,53517","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordaux","Europe (West)",NA,NA
"ERR7445467","AA5-23",4621708,"-96,05019","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445475","AA20-19",4814689,"-103,57172","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445482","280808-1-16",4472490,"22,42060","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445491","AA5-1",4621708,"-96,05019","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445507","CT-H-10",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445510","B2-1",4787951,"18,15611","2014","SMARTER","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,"Aba, Slovakia. Collected 10/2/2014. Seeds provided by SMARTER. Grown from seeds in TRH greenhouses."
"ERR7445527","CT-H-2",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445539","CT-H-7",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445552","AA16-19",4409456,"-102,87050","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445563","CT-H-8",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445568","B-3",4490308,"-0,53517","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordaux","Europe (Mideast)",NA,NA
"ERR7445571","CT-H-3",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445574","A-2010-T1-2",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445580","A-2010-T1-4",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445586","Caluire-26",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445587","B-1",4490308,"-0,53517","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordaux","Europe (Mideast)",NA,NA
"ERR7445588","CT-H-6",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445595","Caluire-27",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445598","CT-H-9",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445599","CT-H-4",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445601","A-2010-T1-5",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445605","CT-H-5",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","-","-","related to CT-H-4 ",NA
"ERR7445609","Caluire-31",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445612","Caluire-37",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445618","B-4",4490308,"-0,53517","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordaux","Europe (West)",NA,NA
"ERR7445630","EU2-01-12",4603608,"15,29614","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7445641","Caluire-32",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445643","Caluire-42",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445649","Caluire-47",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445672","EU2-05-18",4546996,"12,10920","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7445676","EU2-04-11",4787992,"18,15447","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,NA
"ERR7445685","Caluire-46",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445690","Caluire-41",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445696","D-2017-4-4",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7445702","Caluire-36",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 2: Caluire","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Caluire, France."
"ERR7445722","EU2-02-1",4713087,"16,90308","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,NA
"ERR7445725","EU2-06-18",4557073,"8,78546","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7445744","EU2-09-13",4506541,"7,59229","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7445759","D-2017-4-6",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7445760","EU2-04-12",4787992,"18,15447","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,NA
"ERR7445798","BN-ON-5",4500000,"-77,70000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","-","-","related to BN-ON-6",NA
"ERR7445820","EU2-09-10",4506541,"7,59229","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7445823","EU2-05-23",4546996,"12,10920","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7445851","CT-H-1",4128770,"-73,76631","2009","Michael Martin","modern","Martin et al., 2014","This study (BEST)","NovaSeq PE150","NY/NJ","East",NA,NA
"ERR7445883","D-2017-4-5",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7445900","D-2017-4-7",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7445918","BN-ON-6",4500000,"-77,70000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7445944","D-2017-4-9",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7445959","EU2-12-13",4666434,"4,32780","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","BGI, NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7445996","EU2-08-21",4593087,"8,98377","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446018","D-2017-4-10",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7446032","EU2-03-9C",4732780,"19,73070","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446048","D-2017-4-2",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7446052","D-2017-4-3",5282430,"13,76905","2017","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","DE Berlin","Europe (East)",NA,"Collected by Gerhard Karrer. Eberswalde, Germany. 30 km NE of Berlin. Collected 28.7.2017."
"ERR7446122","EU2-08-13",4593087,"8,98377","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446125","EU2-19-1",5616811,"15,89044","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,NA
"ERR7446130","EU2-19-7",5616811,"15,89044","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","-","-","Sequencing depth (MAPQ 25) < 0.1",NA
"ERR7446143","EU2-16-1",4616220,"6,00940","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446153","EU2-16-13",4616220,"6,00940","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446159","EU2-19-2",5616811,"15,89044","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446171","EU2-06-15D",4557073,"8,78546","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446204","EU2-20-1",5163281,"14,18437","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (East)",NA,NA
"ERR7446240","EU2-16-12",4616220,"6,00940","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446267","EU2-14-12",4745560,"5,21213","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446281","EU2-20-11",5163281,"14,18437","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (East)",NA,NA
"ERR7446288","EU2-21-22",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446303","EU2-14-1",4745560,"5,21213","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446349","EU2-21-27",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446402","EU2-22-15",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446411","EU2-21-29",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446430","EU2-21-18",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446431","EU2-17-6",5112003,"5,84030","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","NL Appeldorn","Europe",NA,NA
"ERR7446433","EU2-21-13",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446434","EU2-22-22",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446435","EU2-21-14",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446436","EU2-23-12",5044297,"18,86337","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7446437","EU2-22-24",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446438","EU2-21-24",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446439","EU2-21-20",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446440","EU2-22-18",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446441","EU2-25-15",4797730,"23,04430","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7446443","EU2-26-1",4623696,"24,85397","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446444","EU2-30-1",4986851,"23,01180","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7446445","EU2-23-10",5044297,"18,86337","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7446446","EU2-22-25",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446447","EU2-25-14",4797730,"23,04430","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446449","EU2-31-11",4537402,"27,07202","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446450","EU2-22-1",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446454","EU2-22-13",4941803,"17,96153","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Brno","Europe",NA,NA
"ERR7446455","EU2-33-1",4440457,"26,13484","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446456","EU2-36-1",4331519,"24,25981","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446457","EU2-30-12",4986851,"23,01180","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (West)",NA,NA
"ERR7446458","EU2-24-10",4848919,"21,80622","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446459","FL-10",3040630,"-83,14014","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","-","-","Sequencing depth (MAPQ 25) < 0.1",NA
"ERR7446460","FL-11",3040630,"-83,14014","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","-","-","Sequencing depth (MAPQ 25) < 0.1",NA
"ERR7446461","FL-24",3040630,"-83,14014","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","-","-","Sequencing depth (MAPQ 25) < 0.1",NA
"ERR7446462","FL-25",3040630,"-83,14014","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","-","-","Sequencing depth (MAPQ 25) < 0.1",NA
