sample	HALS	HAFR	AGAB	DOLV	CRES	WADD	VENO	BUNN	TOLL	THIS	RYAN	OSTR	BOVA	ORNE	NELL	MOLU	LANG	KLEV	HFJO	BARR	GREV	CORS	PONT	NISS	LOGS	LILL	INNE	HAUG	GASO	FURI	ZECE	CLEW	TRAL
ORNE	0.02112	0.02178	0.09609	0.0339	0.15861	0.18044	0.00868	0.0058	0.06636	0.02086	0.07955	0.25937	-0.00392	0	0.28938	0.22583	-0.00563	0.0011	0.00578	0.08824	0.07375	0.22305	0.12792	0.0346	0.00607	0.01045	0.08855	-0.00787	0.03024	0.02101	0.17224	NA	0.1095
NELL	0.33826	0.29801	0.35638	0.28408	0.25158	0.4416	0.30198	0.35224	0.24574	0.31802	0.28474	0.47084	0.29304	0.28938	0	0.42995	0.31766	0.3461	0.41021	0.31464	0.34914	0.51867	0.347	0.376	0.32219	0.41381	0.44685	0.35222	0.42689	0.39013	0.36826	NA	0.2997
MOLU	0.25774	0.23007	0.27491	0.20775	0.04663	0.35983	0.23623	0.25507	0.18095	0.24265	0.18525	0.42226	0.23147	0.22583	0.42995	0	0.21824	0.24437	0.25095	0.20146	0.21452	0.17718	0.15348	0.20512	0.22468	0.28162	0.24324	0.22325	0.28812	0.23569	0.06966	NA	0.16874
LANG	0.03377	0.02686	0.10514	0.04119	0.14022	0.18673	0.03043	0.00304	0.07031	0.03978	0.07998	0.27853	0.01123	-0.00563	0.31766	0.21824	0	0.02148	0.02248	0.09773	0.07628	0.20702	0.11445	0.03881	0.01371	0.02394	0.097	0.01206	0.04256	0.02938	0.17017	NA	0.08171
KLEV	0.01419	0.05355	0.10983	0.07487	0.17234	0.21235	0.01052	0.01085	0.07759	0.03046	0.11527	0.29041	0.00452	0.0011	0.3461	0.24437	0.02148	0	0.00696	0.09556	0.11301	0.29453	0.13987	0.06456	0.00383	0.00646	0.11515	0.0041	0.02542	0.01778	0.20949	NA	0.14415
HFJO	0.03045	0.06907	0.12513	0.08731	0.21403	0.22121	0.02554	0.02243	0.09601	0.03696	0.12501	0.27138	0.01967	0.00578	0.41021	0.25095	0.02248	0.00696	0	0.12356	0.12881	0.32751	0.1645	0.07927	0.02646	0.00992	0.12806	0.00954	0.01457	0.02836	0.22574	NA	0.18684
BARR	0.07505	0.10721	0.16657	0.14637	0.12439	0.21858	0.0833	0.11139	0.00743	0.09801	0.06871	0.30375	0.11	0.08824	0.31464	0.20146	0.09773	0.09556	0.12356	0	0.08851	0.21139	0.04162	0.08413	0.06634	0.12037	0.13637	0.09321	0.12013	0.08185	0.13417	NA	0.09804
GREV	0.09415	0.02961	0.16526	0.05585	0.14189	0.19759	0.07856	0.08212	0.07279	0.10201	0.01775	0.32939	0.07865	0.07375	0.34914	0.21452	0.07628	0.11301	0.12881	0.08851	0	0.12496	0.13643	0.00716	0.06565	0.12247	0.1	0.05935	0.13752	0.09833	0.18446	NA	0.03675
CORS	0.30146	0.15339	0.29945	0.11044	0.07986	0.36713	0.25565	0.24423	0.17856	0.27971	0.07065	0.45702	0.22733	0.22305	0.51867	0.17718	0.20702	0.29453	0.32751	0.21139	0.12496	0	0.14254	0.09142	0.16584	0.24312	0.14853	0.15993	0.25551	0.19567	0.12447	NA	0.02294
PONT	0.13971	0.15253	0.19862	0.16077	0.08873	0.25589	0.1242	0.15706	0.03139	0.12843	0.10355	0.32868	0.13785	0.12792	0.347	0.15348	0.11445	0.13987	0.1645	0.04162	0.13643	0.14254	0	0.12527	0.11723	0.16098	0.18506	0.12516	0.18114	0.13823	0.08451	NA	0.11169
NISS	0.04534	0.00679	0.12405	0.02946	0.14147	0.17469	0.04185	0.04097	0.04993	0.06027	0.01051	0.27826	0.03309	0.0346	0.376	0.20512	0.03881	0.06456	0.07927	0.08413	0.00716	0.09142	0.12527	0	0.0186	0.08114	0.07747	0.03139	0.0911	0.05998	0.16242	NA	0.0459
LOGS	-0.0038	0.03335	0.0928	0.05752	0.15221	0.17569	-0.01947	0.00518	0.05286	0.00103	0.08303	0.27983	0.00242	0.00607	0.32219	0.22468	0.01371	0.00383	0.02646	0.06634	0.06565	0.16584	0.11723	0.0186	0	0.02417	0.091	0.0027	0.05386	-0.01329	0.17896	NA	0.10769
LILL	0.0317	0.07952	0.12751	0.09761	0.18888	0.22874	0.01682	0.02006	0.09584	0.03541	0.13296	0.31463	0.02234	0.01045	0.41381	0.28162	0.02394	0.00646	0.00992	0.12037	0.12247	0.24312	0.16098	0.08114	0.02417	0	0.15888	0.02301	0.02971	0.02689	0.27881	NA	0.20317
INNE	0.11524	0.07477	0.04342	0.09876	0.19273	0.25453	0.10131	0.10502	0.1233	0.12066	0.10114	0.16569	0.09132	0.08855	0.44685	0.24324	0.097	0.11515	0.12806	0.13637	0.1	0.14853	0.18506	0.07747	0.091	0.15888	0	0.08814	0.13911	0.11877	0.22398	NA	0.14576
HAUG	0.00781	0.02207	0.09117	0.04405	0.15735	0.17779	0.00933	-0.0048	0.06384	0.02367	0.07727	0.26076	0.01071	-0.00787	0.35222	0.22325	0.01206	0.0041	0.00954	0.09321	0.05935	0.15993	0.12516	0.03139	0.0027	0.02301	0.08814	0	0.02671	0.01393	0.17183	NA	0.10561
GASO	0.06417	0.09387	0.14238	0.10739	0.19233	0.25028	0.03913	0.04646	0.10505	0.05493	0.14829	0.31292	0.03616	0.03024	0.42689	0.28812	0.04256	0.02542	0.01457	0.12013	0.13752	0.25551	0.18114	0.0911	0.05386	0.02971	0.13911	0.02671	0	0.06401	0.30572	NA	0.25083
FURI	0.00618	0.07159	0.11703	0.09551	0.18985	0.20391	-0.00658	0.02257	0.06517	0.00262	0.12165	0.27997	0.01461	0.02101	0.39013	0.23569	0.02938	0.01778	0.02836	0.08185	0.09833	0.19567	0.13823	0.05998	-0.01329	0.02689	0.11877	0.01393	0.06401	0	0.19922	NA	0.16658
ZECE	0.22689	0.1903	0.21056	0.18016	0.00339	0.27179	0.20151	0.21612	0.13106	0.17951	0.14768	0.33276	0.17884	0.17224	0.36826	0.06966	0.17017	0.20949	0.22574	0.13417	0.18446	0.12447	0.08451	0.16242	0.17896	0.27881	0.22398	0.17183	0.30572	0.19922	0	NA	0.14113
CLEW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
TRAL	0.15281	0.06855	0.17655	0.04688	0.10504	0.20834	0.13733	0.11077	0.05877	0.13197	-0.0031	0.34124	0.10341	0.1095	0.2997	0.16874	0.08171	0.14415	0.18684	0.09804	0.03675	0.02294	0.11169	0.0459	0.10769	0.20317	0.14576	0.10561	0.25083	0.16658	0.14113	NA	0
