sample	unclassified-kra_L6866A1_	unclassified-kra_L6867A1_	unclassified-kra_L6868A1_	unclassified-kra_L6869A1_	unclassified-kra_L6870A1_	unclassified-kra_L6871A1_	unclassified-kra_L6872A1_	unclassified-kra_L6873A1_	unclassified-kra_L6874A1_	unclassified-kra_L6875A1_	unclassified-kra_L6876A1_	unclassified-kra_L6877A1_	unclassified-kra_L6878A1_	unclassified-kra_L6879A1_	unclassified-kra_L6880A1_	unclassified-kra_L6881A1_	unclassified-kra_L6882A1_	unclassified-kra_L6883A1_	unclassified-kra_L6884A1_	unclassified-kra_L6885A1_	unclassified-kra_L6886A1_	unclassified-kra_L6887A1_	unclassified-kra_L6888A1_	unclassified-kra_L6889A1_	unclassified-kra_L6890A1_	unclassified-kra_L6891A1_	unclassified-kra_L6892A1_	unclassified-kra_L6893A1_	unclassified-kra_L6894A1_	unclassified-kra_L6895A1_	unclassified-kra_L6896A1_	unclassified-kra_L6897A1_	unclassified-kra_L6898A1_	unclassified-kra_L6899A1_	unclassified-kra_L6900A1_	unclassified-kra_L6901A1_	unclassified-kra_L6902A1_	unclassified-kra_L6903A1_	unclassified-kra_L6904A1_	unclassified-kra_L6905A1_
unclassified-kra_L6880A1_	0.00283031	0.00315983	0.00331042	0.00303876	0.00319511	0.00307407	0.00295896	0.00300402	0.00255138	0.0029755	0.00294241	0.00288854	0.00312558	0.00326266	0	0.00316661	0.00324634	0.00329741	0.0030312	0.022186	0.00294642	0.00308661	0.00305956	0.00311768	0.00274008	0.00304664	0.00178446	0.00303753	0.00284885	0.00305223	0.00307735	0.00304903	0.00218436	0.00328895	0.00314362	0.00287784	0.0167615	0.016927	0.0168164	0.0167449
unclassified-kra_L6881A1_	0.00284586	0.00305578	0.0031606	0.00299292	0.00313403	0.00307689	0.00291023	0.00295039	0.00255318	0.00290051	0.0029483	0.00291844	0.00304417	0.00312963	0.00316661	0	0.0031421	0.0031496	0.00288377	0.0221071	0.00286286	0.0030132	0.00301346	0.00302583	0.00280267	0.00302875	0.00184528	0.00306609	0.0028934	0.00299635	0.00310362	0.0029742	0.00216483	0.00327261	0.00305126	0.00285792	0.0167434	0.016967	0.0168137	0.0167183
unclassified-kra_L6882A1_	0.00285615	0.00310554	0.00330389	0.00295883	0.00325152	0.00309573	0.00302063	0.00311128	0.0026004	0.00294753	0.00308851	0.00291588	0.00317572	0.0032665	0.00324634	0.0031421	0	0.003219	0.00293428	0.022141	0.00293298	0.00306524	0.00307297	0.00311343	0.00288039	0.00310933	0.0018465	0.00314273	0.00289921	0.00317528	0.00318544	0.00316366	0.00222311	0.0033638	0.00315305	0.00291294	0.0167199	0.0169139	0.016915	0.0167548
unclassified-kra_L6883A1_	0.00292375	0.00317174	0.00329727	0.00306439	0.00323069	0.00318468	0.00301217	0.0030629	0.00261392	0.00292194	0.00304158	0.00297925	0.00316447	0.00325577	0.00329741	0.0031496	0.003219	0	0.00296954	0.0222704	0.00301779	0.00316621	0.00315158	0.00319144	0.00287006	0.00312343	0.0018667	0.00319661	0.00302997	0.00320927	0.00320054	0.00316164	0.00227173	0.00337406	0.0032451	0.00296845	0.0168832	0.0170825	0.0170541	0.0169086
unclassified-kra_L6884A1_	0.00267806	0.00292676	0.00301253	0.00280007	0.00297699	0.00284006	0.00278222	0.00282744	0.00241056	0.0027705	0.00275051	0.00271844	0.00282994	0.00299712	0.0030312	0.00288377	0.00293428	0.00296954	0	0.0219108	0.00272343	0.00285813	0.00282597	0.002872	0.00258308	0.00286557	0.00173193	0.0028781	0.0027098	0.00292765	0.0029133	0.00285368	0.00209715	0.00310179	0.00290962	0.00269254	0.0165933	0.0166808	0.0166788	0.016609
unclassified-kra_L6885A1_	0.0218612	0.0222221	0.0222455	0.0219896	0.0221166	0.0220176	0.0219042	0.0220199	0.0214798	0.0218632	0.0219497	0.0217764	0.0220347	0.0222275	0.022186	0.0221071	0.022141	0.0222704	0.0219108	0	0.0219353	0.0221327	0.0220226	0.0220181	0.0216651	0.0219325	0.0207798	0.0219552	0.0217037	0.022139	0.0219847	0.0220397	0.021296	0.0223163	0.0221236	0.0217531	0.0217891	0.0218205	0.0218257	0.0218933
unclassified-kra_L6886A1_	0.00264343	0.00292274	0.00306784	0.00273417	0.00297218	0.00278386	0.00275505	0.00276341	0.00240126	0.002717	0.00274986	0.00267209	0.00288467	0.00296409	0.00294642	0.00286286	0.00293298	0.00301779	0.00272343	0.0219353	0	0.00287372	0.00287854	0.002852	0.00256461	0.00282943	0.00167233	0.00285167	0.00264106	0.0028428	0.0028539	0.00284397	0.00209337	0.00297082	0.00284791	0.00266877	0.0166118	0.0166839	0.0166324	0.0165083
unclassified-kra_L6887A1_	0.00278597	0.00298778	0.00314015	0.00293378	0.00315658	0.00308759	0.00295631	0.00286145	0.00247259	0.00286283	0.00292282	0.00283727	0.00306446	0.00315172	0.00308661	0.0030132	0.00306524	0.00316621	0.00285813	0.0221327	0.00287372	0	0.00297195	0.00301745	0.0027049	0.00298454	0.00178235	0.0029914	0.00279133	0.00301014	0.003032	0.00300156	0.00210676	0.00319681	0.00305718	0.00285808	0.016685	0.0168274	0.0167416	0.0166808
unclassified-kra_L6888A1_	0.00278565	0.00302157	0.00313696	0.00289786	0.00303192	0.00298199	0.00290296	0.00295574	0.00251336	0.00288806	0.00288461	0.00281075	0.00304606	0.00302266	0.00305956	0.00301346	0.00307297	0.00315158	0.00282597	0.0220226	0.00287854	0.00297195	0	0.00298081	0.00268435	0.00298317	0.00181385	0.00301561	0.00277503	0.00300332	0.00299641	0.00295536	0.00218517	0.00316928	0.00302321	0.00274689	0.016695	0.0168072	0.0167345	0.0167133
unclassified-kra_L6889A1_	0.0028006	0.00306044	0.0031665	0.00290418	0.00310165	0.00298698	0.00296645	0.00295539	0.00249657	0.00282165	0.00297413	0.00286785	0.00306835	0.00311563	0.00311768	0.00302583	0.00311343	0.00319144	0.002872	0.0220181	0.002852	0.00301745	0.00298081	0	0.00267592	0.0029556	0.00178919	0.00295629	0.00279348	0.00297027	0.00300957	0.00301816	0.00215406	0.00320948	0.00304971	0.00280082	0.0166907	0.0168601	0.0167651	0.0166928
unclassified-kra_L6890A1_	0.00247556	0.0027237	0.00287037	0.00264406	0.00272783	0.00265563	0.00256006	0.00255145	0.00229088	0.00257896	0.00254635	0.00247453	0.00271321	0.00280108	0.00274008	0.00280267	0.00288039	0.00287006	0.00258308	0.0216651	0.00256461	0.0027049	0.00268435	0.00267592	0	0.00251644	0.00141166	0.00252375	0.00241586	0.00259153	0.00260336	0.00255592	0.00195039	0.00284802	0.00269864	0.00245828	0.0164262	0.0164682	0.0164262	0.0163891
unclassified-kra_L6891A1_	0.00280524	0.00306215	0.00309267	0.0028899	0.00294708	0.00281269	0.00274387	0.00277394	0.00248628	0.00286124	0.00268643	0.00266374	0.00298742	0.00308151	0.00304664	0.00302875	0.00310933	0.00312343	0.00286557	0.0219325	0.00282943	0.00298454	0.00298317	0.0029556	0.00251644	0	0.00153412	0.00275842	0.00267657	0.00286919	0.00285715	0.00283032	0.00205715	0.00319574	0.00302804	0.00259364	0.0165401	0.0167149	0.0166424	0.0165245
unclassified-kra_L6892A1_	0.00168611	0.00182686	0.00187907	0.00178436	0.00171602	0.00172022	0.00165218	0.00160967	0.00144784	0.00164266	0.00151732	0.00149656	0.00180148	0.00182667	0.00178446	0.00184528	0.0018465	0.0018667	0.00173193	0.0207798	0.00167233	0.00178235	0.00181385	0.00178919	0.00141166	0.00153412	0	0.00152525	0.00147406	0.0016329	0.00160727	0.00167046	0.00120505	0.00188619	0.00177103	0.00149836	0.0156134	0.0156143	0.0155861	0.0155173
unclassified-kra_L6893A1_	0.0027283	0.003094	0.00318301	0.00297241	0.00299387	0.00280138	0.00274731	0.00272551	0.00251939	0.00286124	0.00274992	0.00262693	0.0030157	0.00308915	0.00303753	0.00306609	0.00314273	0.00319661	0.0028781	0.0219552	0.00285167	0.0029914	0.00301561	0.00295629	0.00252375	0.00275842	0.00152525	0	0.00261677	0.00280644	0.0028303	0.0028166	0.0020778	0.00317938	0.00298744	0.00260225	0.0166239	0.0168108	0.0166717	0.016601
unclassified-kra_L6894A1_	0.00263559	0.00290637	0.0030269	0.00282774	0.00288429	0.00280455	0.00268577	0.00267751	0.00236852	0.00268	0.00265189	0.00254979	0.00282357	0.00297568	0.00284885	0.0028934	0.00289921	0.00302997	0.0027098	0.0217037	0.00264106	0.00279133	0.00277503	0.00279348	0.00241586	0.00267657	0.00147406	0.00261677	0	0.00264185	0.00265055	0.00258706	0.00190115	0.00295795	0.00283495	0.00248528	0.0163712	0.01643	0.016406	0.0163774
unclassified-kra_L6895A1_	0.00277524	0.0030605	0.00319125	0.0028949	0.00303514	0.00296158	0.00279143	0.00281321	0.00253987	0.00289942	0.0028381	0.00270564	0.00308157	0.00314036	0.00305223	0.00299635	0.00317528	0.00320927	0.00292765	0.022139	0.0028428	0.00301014	0.00300332	0.00297027	0.00259153	0.00286919	0.0016329	0.00280644	0.00264185	0	0.00286587	0.00280501	0.0021201	0.00323113	0.00302877	0.00271	0.0166587	0.0167974	0.0167134	0.0166358
unclassified-kra_L6896A1_	0.00276307	0.00302039	0.00323563	0.00295194	0.00302568	0.00286478	0.00277251	0.00285227	0.00254503	0.00283536	0.00284098	0.00279384	0.00309653	0.00311639	0.00307735	0.00310362	0.00318544	0.00320054	0.0029133	0.0219847	0.0028539	0.003032	0.00299641	0.00300957	0.00260336	0.00285715	0.00160727	0.0028303	0.00265055	0.00286587	0	0.00289962	0.00206407	0.00325536	0.0030405	0.00269599	0.0165267	0.0166763	0.0166858	0.0165834
unclassified-kra_L6897A1_	0.00279184	0.00303751	0.00313494	0.0029284	0.00297876	0.00294523	0.00278987	0.00285297	0.00255408	0.00281498	0.00277295	0.00276833	0.00303914	0.0030317	0.00304903	0.0029742	0.00316366	0.00316164	0.00285368	0.0220397	0.00284397	0.00300156	0.00295536	0.00301816	0.00255592	0.00283032	0.00167046	0.0028166	0.00258706	0.00280501	0.00289962	0	0.00220252	0.00310561	0.00296408	0.00276824	0.0166962	0.0168301	0.0167476	0.0167208
unclassified-kra_L6898A1_	0.00203101	0.00216884	0.00229959	0.00211864	0.00229561	0.00227389	0.002191	0.00212283	0.0017712	0.00198133	0.00206709	0.00207013	0.0022051	0.00224353	0.00218436	0.00216483	0.00222311	0.00227173	0.00209715	0.021296	0.00209337	0.00210676	0.00218517	0.00215406	0.00195039	0.00205715	0.00120505	0.0020778	0.00190115	0.0021201	0.00206407	0.00220252	0	0.00219041	0.00218627	0.00204267	0.0159999	0.0160694	0.0160009	0.0159567
unclassified-kra_L6899A1_	0.00295383	0.00333048	0.00338182	0.00306521	0.00335244	0.00323362	0.00307308	0.00312272	0.00275232	0.00303153	0.00309734	0.00307499	0.00323659	0.00338615	0.00328895	0.00327261	0.0033638	0.00337406	0.00310179	0.0223163	0.00297082	0.00319681	0.00316928	0.00320948	0.00284802	0.00319574	0.00188619	0.00317938	0.00295795	0.00323113	0.00325536	0.00310561	0.00219041	0	0.00320822	0.00294396	0.0168879	0.0171127	0.0169786	0.0169215
unclassified-kra_L6900A1_	0.00281341	0.00306445	0.00321542	0.00298995	0.00316111	0.00300294	0.00292085	0.00296955	0.00255739	0.00286653	0.00292687	0.00294814	0.00313592	0.00322503	0.00314362	0.00305126	0.00315305	0.0032451	0.00290962	0.0221236	0.00284791	0.00305718	0.00302321	0.00304971	0.00269864	0.00302804	0.00177103	0.00298744	0.00283495	0.00302877	0.0030405	0.00296408	0.00218627	0.00320822	0	0.00277112	0.0166307	0.0169027	0.0167821	0.0166991
unclassified-kra_L6901A1_	0.00260845	0.00287414	0.00296093	0.00274623	0.00278967	0.00274964	0.00253763	0.00263933	0.00236636	0.00270247	0.00261337	0.00249781	0.00283219	0.00293576	0.00287784	0.00285792	0.00291294	0.00296845	0.00269254	0.0217531	0.00266877	0.00285808	0.00274689	0.00280082	0.00245828	0.00259364	0.00149836	0.00260225	0.00248528	0.00271	0.00269599	0.00276824	0.00204267	0.00294396	0.00277112	0	0.016417	0.0164677	0.0164049	0.0163406
unclassified-kra_L6902A1_	0.01656	0.0167513	0.016817	0.0166848	0.0167408	0.0167763	0.0165383	0.0167734	0.0161613	0.016387	0.0165983	0.0164532	0.0165782	0.0168775	0.0167615	0.0167434	0.0167199	0.0168832	0.0165933	0.0217891	0.0166118	0.016685	0.016695	0.0166907	0.0164262	0.0165401	0.0156134	0.0166239	0.0163712	0.0166587	0.0165267	0.0166962	0.0159999	0.0168879	0.0166307	0.016417	0	0.000382036	0.000225451	0.000214788
unclassified-kra_L6903A1_	0.0166441	0.0169822	0.0170826	0.016813	0.0169354	0.0169158	0.0166953	0.0168356	0.0162138	0.0165354	0.0167395	0.0165432	0.0167651	0.0170925	0.016927	0.016967	0.0169139	0.0170825	0.0166808	0.0218205	0.0166839	0.0168274	0.0168072	0.0168601	0.0164682	0.0167149	0.0156143	0.0168108	0.01643	0.0167974	0.0166763	0.0168301	0.0160694	0.0171127	0.0169027	0.0164677	0.000382036	0	0.00058172	0.000510622
unclassified-kra_L6904A1_	0.0166323	0.0168404	0.0169469	0.0167478	0.016831	0.0168067	0.0166401	0.0167951	0.0161747	0.016432	0.0166739	0.0164742	0.0166762	0.0169552	0.0168164	0.0168137	0.016915	0.0170541	0.0166788	0.0218257	0.0166324	0.0167416	0.0167345	0.0167651	0.0164262	0.0166424	0.0155861	0.0166717	0.016406	0.0167134	0.0166858	0.0167476	0.0160009	0.0169786	0.0167821	0.0164049	0.000225451	0.00058172	0	0.00035482
unclassified-kra_L6905A1_	0.0165302	0.016775	0.016844	0.0166845	0.0167129	0.0167389	0.0165567	0.0167149	0.016142	0.0163699	0.0166007	0.0164518	0.0165478	0.0168414	0.0167449	0.0167183	0.0167548	0.0169086	0.016609	0.0218933	0.0165083	0.0166808	0.0167133	0.0166928	0.0163891	0.0165245	0.0155173	0.016601	0.0163774	0.0166358	0.0165834	0.0167208	0.0159567	0.0169215	0.0166991	0.0163406	0.000214788	0.000510622	0.00035482	0
