Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Locality,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR26416942,WGS,300,1861464000,PRJNA1029395,SAMN37867599,Invertebrate,not applicable,633774691,THE TECHNICAL UNIVERSITY OF DENMARK,Alice Lown and Tom Cameron,2020,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX22122495,United Kingdom,Europe,United Kingdom: England,not applicable,Illumina HiSeq 2500,22,not applicable,EKDL200012859-1a-AK11428-AK16253,PAIRED,RANDOM,GENOMIC,Barrow_Deep,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,BARR_03,SRP466968,Gills and muscle
SRR26416943,WGS,300,4266565800,PRJNA1029395,SAMN37867787,Invertebrate,not applicable,1504597148,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX22122494,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,210,not applicable,EKDL210007863-1a-AK23704-AK22953,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,HAFR_16,SRP466968,Gills and muscle
SRR26416944,WGS,300,2039590500,PRJNA1029395,SAMN37867786,Invertebrate,not applicable,702631142,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX22122493,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,209,not applicable,EKDL210004789-1a-AK11526-AK16296,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,HAFR_15,SRP466968,Gills and muscle
SRR26416945,WGS,300,1670640300,PRJNA1029395,SAMN37867785,Invertebrate,not applicable,576242173,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX22122492,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,208,not applicable,EKDL210004790-1a-AK11495-AK16238,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,HAFR_14,SRP466968,Gills and muscle
SRR26416946,WGS,300,2752959600,PRJNA1029395,SAMN37867784,Invertebrate,not applicable,963986176,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX22122491,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,207,not applicable,EKDL210007863-1a-AK19133-AK18842,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,HAFR_13,SRP466968,Gills and muscle
SRR26416947,WGS,300,1185420300,PRJNA1029395,SAMN37867718,Invertebrate,not applicable,414868392,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX22122490,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,141,not applicable,EKDL210009122-1a-AK19284-AK31207,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,DOLV_15,SRP466968,Gills and muscle
SRR26416948,WGS,300,1384800900,PRJNA1029395,SAMN37867592,Invertebrate,not applicable,482300930,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX22122489,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,15,not applicable,EKDL200012859-1a-AK11718-AK16243,PAIRED,RANDOM,GENOMIC,Aga_Bømlo,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,AGAB_18,SRP466968,Gills and muscle
SRR26416949,WGS,300,1596493500,PRJNA1029395,SAMN37867717,Invertebrate,not applicable,571718024,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX22122488,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,140,not applicable,EKDL210009122-1a-AK19073-AK31217,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_14,SRP466968,Gills and muscle
SRR26416950,WGS,300,1292092200,PRJNA1029395,SAMN37867716,Invertebrate,not applicable,447096719,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX22122487,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,139,not applicable,EKDL210009122-1a-AK31230-AK31231,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_13,SRP466968,Gills and muscle
SRR26416951,WGS,300,1738875000,PRJNA1029395,SAMN37867715,Invertebrate,not applicable,595904673,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX22122486,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,138,not applicable,EKDL210009122-1a-AK18639-AK31107,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_12,SRP466968,Gills and muscle
SRR26416952,WGS,300,1375711200,PRJNA1029395,SAMN37867714,Invertebrate,not applicable,468521109,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX22122485,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,137,not applicable,EKDL210009122-1a-AK31119-AK31120,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,DOLV_11,SRP466968,Gills and muscle
SRR26416953,WGS,300,1276112400,PRJNA1029395,SAMN37867713,Invertebrate,not applicable,463547288,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX22122484,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,136,not applicable,EKDL210009122-1a-AK31129-AK31130,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_10,SRP466968,Gills and muscle
SRR26416954,WGS,300,1248247200,PRJNA1029395,SAMN37867712,Invertebrate,not applicable,439409647,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX22122483,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,135,not applicable,EKDL210009122-1a-AK19293-AK31140,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,DOLV_09,SRP466968,Gills and muscle
SRR26416955,WGS,300,1268731800,PRJNA1029395,SAMN37867711,Invertebrate,not applicable,452032239,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX22122482,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,134,not applicable,EKDL210009122-1a-AK31151-AK31152,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,DOLV_08,SRP466968,Gills and muscle
SRR26416956,WGS,300,1822713900,PRJNA1029395,SAMN37867710,Invertebrate,not applicable,626686653,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX22122481,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,133,not applicable,EKDL210009122-1a-AK18627-AK31161,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_07,SRP466968,Gills and muscle
SRR26416957,WGS,300,1331020200,PRJNA1029395,SAMN37867709,Invertebrate,not applicable,478330554,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX22122480,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,132,not applicable,EKDL210009122-1a-AK27196-AK31175,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,DOLV_06,SRP466968,Gills and muscle
SRR26416958,WGS,300,1289210100,PRJNA1029395,SAMN37867708,Invertebrate,not applicable,450268772,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX22122479,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,131,not applicable,EKDL210009122-1a-AK31182-AK31183,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,DOLV_05,SRP466968,Gills and muscle
SRR26416959,WGS,300,2348608500,PRJNA1029395,SAMN37867591,Invertebrate,not applicable,828312908,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX22122478,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,14,not applicable,EKDL210004788-1a-AK11416-AK16269,PAIRED,RANDOM,GENOMIC,Aga_Bømlo,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,AGAB_15,SRP466968,Gills and muscle
SRR26416960,WGS,300,1645554600,PRJNA1029395,SAMN37867707,Invertebrate,not applicable,571621486,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX22122477,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,130,not applicable,EKDL210009122-1a-AK31199-AK31200,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_04,SRP466968,Gills and muscle
SRR26416961,WGS,300,1702574100,PRJNA1029395,SAMN37867706,Invertebrate,not applicable,607353416,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX22122476,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,129,not applicable,EKDL210009122-1a-AK31208-AK31209,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_03,SRP466968,Gills and muscle
SRR26416962,WGS,300,2000598600,PRJNA1029395,SAMN37867705,Invertebrate,not applicable,717638835,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX22122475,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,128,not applicable,EKDL210009122-1a-AK31218-AK31219,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_02,SRP466968,Gills and muscle
SRR26416963,WGS,300,1773218400,PRJNA1029395,SAMN37867704,Invertebrate,not applicable,611426099,THE TECHNICAL UNIVERSITY OF DENMARK,Ane Timenes Laugen,2021,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX22122474,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,127,not applicable,EKDL210009122-1a-AK19014-AK31232,PAIRED,RANDOM,GENOMIC,DolvAgskiten_Agder,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,DOLV_01,SRP466968,Gills and muscle
SRR26416964,WGS,300,1197557100,PRJNA1029395,SAMN37867703,Invertebrate,not applicable,390439034,THE TECHNICAL UNIVERSITY OF DENMARK,Tanja Segvic,2021,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX22122473,Croatia,Europe,Croatia,not applicable,Illumina HiSeq 2500,126,not applicable,EKDL200012859-1a-AK11377-AK16262,PAIRED,RANDOM,GENOMIC,Cres,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,CRES_20,SRP466968,Gills and muscle
SRR26416965,WGS,300,736084200,PRJNA1029395,SAMN37867702,Invertebrate,not applicable,253500067,THE TECHNICAL UNIVERSITY OF DENMARK,Tanja Segvic,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX22122472,Croatia,Europe,Croatia,not applicable,Illumina HiSeq 2500,125,not applicable,EKDL210004788-1a-AK11467-AK14066,PAIRED,RANDOM,GENOMIC,Cres,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,CRES_19,SRP466968,Gills and muscle
SRR26416966,WGS,300,844593000,PRJNA1029395,SAMN37867701,Invertebrate,not applicable,287009595,THE TECHNICAL UNIVERSITY OF DENMARK,Tanja Segvic,2020,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX22122471,Croatia,Europe,Croatia,not applicable,Illumina HiSeq 2500,124,not applicable,EKDL210009123-1a-AK23749-AK23750,PAIRED,RANDOM,GENOMIC,Cres,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,CRES_18,SRP466968,Gills and muscle
SRR26416967,WGS,300,1835689800,PRJNA1029395,SAMN37867700,Invertebrate,not applicable,643724476,THE TECHNICAL UNIVERSITY OF DENMARK,Tanja Segvic,2020,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX22122470,Croatia,Europe,Croatia,not applicable,Illumina HiSeq 2500,123,not applicable,EKDL200012859-1a-AK11600-AK6934,PAIRED,RANDOM,GENOMIC,Cres,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,CRES_17,SRP466968,Gills and muscle
SRR26416968,WGS,300,1691228400,PRJNA1029395,SAMN37867699,Invertebrate,not applicable,560184342,THE TECHNICAL UNIVERSITY OF DENMARK,Tanja Segvic,2020,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX22122469,Croatia,Europe,Croatia,not applicable,Illumina HiSeq 2500,122,not applicable,EKDL210004790-1a-AK11506-AK16290,PAIRED,RANDOM,GENOMIC,Cres,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,CRES_16,SRP466968,Gills and muscle
SRR26416969,WGS,300,762253500,PRJNA1029395,SAMN37867698,Invertebrate,not applicable,252606489,THE TECHNICAL UNIVERSITY OF DENMARK,Tanja Segvic,2020,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX22122468,Croatia,Europe,Croatia,not applicable,Illumina HiSeq 2500,121,not applicable,EKDL210004788-1a-AK11674-AK2690,PAIRED,RANDOM,GENOMIC,Cres,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,CRES_15,SRP466968,Gills and muscle
SRR26416970,WGS,300,2102355300,PRJNA1029395,SAMN37867590,Invertebrate,not applicable,724224355,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX22122467,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,13,not applicable,EKDL200012859-1a-AK12637-AK16268,PAIRED,RANDOM,GENOMIC,Aga_Bømlo,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,AGAB_14,SRP466968,Gills and muscle
SRR26416971,WGS,300,2003073000,PRJNA1029395,SAMN37868329,Invertebrate,not applicable,709657777,THE TECHNICAL UNIVERSITY OF DENMARK,Pauline Kamermans,2020,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX22122466,Netherlands,Europe,Netherlands,not applicable,Illumina HiSeq 2500,754,not applicable,EKDL210005548-1a-AK11677-AK5989,PAIRED,RANDOM,GENOMIC,Wadden_Sea,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,WADD_11,SRP466968,Gills and muscle
SRR26416972,WGS,300,2319132000,PRJNA1029395,SAMN37868328,Invertebrate,not applicable,832851534,THE TECHNICAL UNIVERSITY OF DENMARK,Pauline Kamermans,2020,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX22122465,Netherlands,Europe,Netherlands,not applicable,Illumina HiSeq 2500,753,not applicable,EKDL210004789-1a-AK11460-AK16272,PAIRED,RANDOM,GENOMIC,Wadden_Sea,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,WADD_10,SRP466968,Gills and muscle
SRR26416973,WGS,300,1786488300,PRJNA1029395,SAMN37868327,Invertebrate,not applicable,636913696,THE TECHNICAL UNIVERSITY OF DENMARK,Pauline Kamermans,2020,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX22122464,Netherlands,Europe,Netherlands,not applicable,Illumina HiSeq 2500,752,not applicable,EKDL210007863-1a-AK31851-AK31852,PAIRED,RANDOM,GENOMIC,Wadden_Sea,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,WADD_09,SRP466968,Gills and muscle
SRR26416974,WGS,300,1887870300,PRJNA1029395,SAMN37868326,Invertebrate,not applicable,682494944,THE TECHNICAL UNIVERSITY OF DENMARK,Pauline Kamermans,2020,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX22122463,Netherlands,Europe,Netherlands,not applicable,Illumina HiSeq 2500,751,not applicable,EKDL210007863-1a-AK23749-AK23750,PAIRED,RANDOM,GENOMIC,Wadden_Sea,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,WADD_08,SRP466968,Gills and muscle
SRR26416975,WGS,300,3638812500,PRJNA1029395,SAMN37868325,Invertebrate,not applicable,1313455263,THE TECHNICAL UNIVERSITY OF DENMARK,Pauline Kamermans,2020,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX22122462,Netherlands,Europe,Netherlands,not applicable,Illumina HiSeq 2500,750,not applicable,EKDL210007863-1a-AK19017-AK23748,PAIRED,RANDOM,GENOMIC,Wadden_Sea,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:28:00Z,1,WADD_07,SRP466968,Gills and muscle
SRR26416976,WGS,300,3499636800,PRJNA1029395,SAMN37868324,Invertebrate,not applicable,1262326233,THE TECHNICAL UNIVERSITY OF DENMARK,Pauline Kamermans,2020,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX22122461,Netherlands,Europe,Netherlands,not applicable,Illumina HiSeq 2500,749,not applicable,EKDL210007863-1a-AK19170-AK23747,PAIRED,RANDOM,GENOMIC,Wadden_Sea,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:28:00Z,1,WADD_06,SRP466968,Gills and muscle
