sample	unclassified-kra_subsampled4x_ERR9709202	unclassified-kra_subsampled4x_ERR9709203	unclassified-kra_subsampled4x_ERR9709204	unclassified-kra_subsampled4x_ERR9709206	unclassified-kra_subsampled4x_ERR9709208	unclassified-kra_subsampled4x_ERR9709209	unclassified-kra_subsampled4x_ERR9709210	unclassified-kra_subsampled4x_ERR9709211	unclassified-kra_subsampled4x_ERR9709212	unclassified-kra_subsampled4x_ERR9709213	unclassified-kra_subsampled4x_ERR9709214	unclassified-kra_subsampled4x_ERR9709215	unclassified-kra_subsampled4x_ERR9709216	unclassified-kra_subsampled4x_ERR9709217	unclassified-kra_subsampled4x_ERR9709218	unclassified-kra_subsampled4x_ERR9709220	unclassified-kra_subsampled4x_ERR9709221	unclassified-kra_subsampled4x_ERR9709222	unclassified-kra_subsampled4x_ERR9709223	unclassified-kra_subsampled4x_ERR9709224	unclassified-kra_subsampled4x_ERR9709225	unclassified-kra_subsampled4x_ERR9709226	unclassified-kra_subsampled4x_ERR9709227	unclassified-kra_subsampled4x_ERR9709228	unclassified-kra_subsampled4x_ERR9709229	unclassified-kra_subsampled4x_ERR9709230	unclassified-kra_subsampled4x_ERR9709231	unclassified-kra_subsampled4x_ERR9709234	unclassified-kra_subsampled4x_ERR9709235	unclassified-kra_subsampled4x_ERR9709236	unclassified-kra_subsampled4x_ERR9709238	unclassified-kra_subsampled4x_ERR9709240	unclassified-kra_subsampled4x_ERR9709241	unclassified-kra_subsampled4x_ERR9709242	unclassified-kra_subsampled4x_ERR9709243	unclassified-kra_subsampled4x_ERR9709244	unclassified-kra_subsampled4x_ERR9709245	unclassified-kra_subsampled4x_ERR9709246	unclassified-kra_subsampled4x_ERR9709247	unclassified-kra_subsampled4x_ERR9709248	unclassified-kra_subsampled4x_ERR9709249	unclassified-kra_subsampled4x_ERR9709251	unclassified-kra_subsampled4x_ERR9709252	unclassified-kra_subsampled4x_ERR9709253
unclassified-kra_subsampled4x_ERR9709214	0.0778986	0.0469666	0.0804981	0.0768203	0.0787067	0.0775026	0.0780887	0.0800946	0.0770164	0.0797311	0	0.0792419	0.0764819	0.0765818	0.0769974	0.0764196	0.0480987	0.079489	0.0836818	0.0781941	0.0766381	0.0766945	0.0776772	0.0482627	0.0771499	0.0773289	0.0763451	0.0761226	0.0761657	0.0768203	0.048749	0.0772329	0.0484297	0.0766193	0.0761103	0.0774897	0.0777032	0.0783198	0.0819209	0.0753627	0.0786531	0.0828232	0.079489	0.0774446
unclassified-kra_subsampled4x_ERR9709215	0.0792282	0.0477343	0.082191	0.0781809	0.0793035	0.0780624	0.0796687	0.0811101	0.0774768	0.0797729	0.0792419	0	0.0772841	0.0779706	0.0778855	0.0776967	0.048569	0.0808349	0.0846144	0.0785995	0.0769847	0.0773995	0.0777877	0.0491819	0.0781875	0.0778463	0.0773867	0.0770164	0.0768456	0.0771308	0.04939	0.078069	0.0497205	0.0768771	0.0770545	0.0778203	0.0786062	0.0796271	0.0819732	0.0765318	0.0798146	0.0838167	0.0796202	0.0783928
unclassified-kra_subsampled4x_ERR9709216	0.0755856	0.0439948	0.0792692	0.07447	0.0772649	0.0743016	0.0766381	0.0777617	0.0745167	0.0785928	0.0764819	0.0772841	0	0.0740078	0.0735696	0.0732159	0.0445318	0.0776253	0.0823043	0.0753267	0.0730545	0.0738934	0.0739276	0.0450206	0.0740997	0.0739334	0.0738648	0.0735922	0.0731434	0.0741515	0.0459112	0.0743306	0.0448773	0.0724556	0.072581	0.0748333	0.0758285	0.0763513	0.0806911	0.0725482	0.0764819	0.0819507	0.0769214	0.0756947
unclassified-kra_subsampled4x_ERR9709217	0.0754469	0.0438179	0.0789021	0.0751117	0.0771436	0.0747803	0.0763699	0.0782404	0.0747862	0.0782205	0.0765818	0.0779706	0.0740078	0	0.0739391	0.0736375	0.0451936	0.0775026	0.0822212	0.0751952	0.0734512	0.0733333	0.0742959	0.0459028	0.0740709	0.0735076	0.0742901	0.0739791	0.0736318	0.0736545	0.0463333	0.0738591	0.0455048	0.0723796	0.0734906	0.0741457	0.0741515	0.0758224	0.0801227	0.0731045	0.0769657	0.0811683	0.0777877	0.0756825
unclassified-kra_subsampled4x_ERR9709218	0.0761534	0.0433353	0.0786129	0.074238	0.0769847	0.0749811	0.0771499	0.0778072	0.074505	0.078148	0.0769974	0.0778855	0.0735696	0.0739391	0	0.0727673	0.0448988	0.0782073	0.0821835	0.0753807	0.0727783	0.0734287	0.0741976	0.045809	0.0742034	0.0731267	0.0735019	0.0736545	0.0734625	0.073395	0.0464299	0.0746453	0.0455267	0.0724992	0.0727563	0.0748451	0.0751415	0.0757859	0.0799893	0.0718581	0.0769657	0.0817198	0.0776967	0.0750582
unclassified-kra_subsampled4x_ERR9709220	0.0745342	0.0431682	0.0799263	0.0740135	0.0767071	0.0742959	0.0771372	0.0771754	0.0745692	0.0774574	0.0764196	0.0776967	0.0732159	0.0736375	0.0727673	0	0.044607	0.077879	0.0819134	0.0743306	0.0724502	0.0720881	0.0737907	0.0448334	0.0735866	0.0731546	0.0737566	0.0721365	0.0720452	0.0737339	0.0448629	0.0739734	0.0448346	0.0717995	0.0723146	0.0745634	0.0738705	0.0758834	0.0794821	0.0724284	0.0761781	0.0818984	0.0771691	0.074616
unclassified-kra_subsampled4x_ERR9709221	0.0465067	0.0231416	0.0514374	0.0466102	0.0485813	0.0464436	0.0484707	0.0497306	0.0473745	0.0502148	0.0480987	0.048569	0.0445318	0.0451936	0.0448988	0.044607	0	0.0500267	0.0539262	0.0473155	0.0448988	0.0453532	0.0459664	0.0292297	0.0464665	0.045232	0.0452815	0.0452265	0.044382	0.0460172	0.0293697	0.045854	0.0282526	0.0440425	0.0450131	0.0468531	0.047233	0.0488288	0.0517305	0.0447958	0.0488412	0.0537864	0.0489844	0.0468589
unclassified-kra_subsampled4x_ERR9709222	0.0797034	0.0488088	0.0820932	0.0797173	0.0801016	0.078247	0.0805266	0.0805909	0.0791464	0.0806338	0.079489	0.0808349	0.0776253	0.0775026	0.0782073	0.077879	0.0500267	0	0.0843462	0.079024	0.0781216	0.0781677	0.0782271	0.0505293	0.0778725	0.0782801	0.0786196	0.0777291	0.0773033	0.0777356	0.0501871	0.0774768	0.0498154	0.0770736	0.0770037	0.078546	0.078566	0.0799683	0.0825245	0.0776902	0.0806696	0.0841204	0.0806195	0.080363
unclassified-kra_subsampled4x_ERR9709223	0.0830782	0.0524476	0.0856692	0.0828155	0.0840963	0.0829157	0.0831793	0.0839203	0.0825702	0.0842331	0.0836818	0.0846144	0.0823043	0.0822212	0.0821835	0.0819134	0.0539262	0.0843462	0	0.0823876	0.0818835	0.0820631	0.0826467	0.0551708	0.0827617	0.0822061	0.0826696	0.0811683	0.0816235	0.0824484	0.0543719	0.0820481	0.0537585	0.0818164	0.0823724	0.0834845	0.0832339	0.0836739	0.0861462	0.0822287	0.0837294	0.0867268	0.0836028	0.0823876
unclassified-kra_subsampled4x_ERR9709224	0.0766506	0.0459686	0.0806195	0.0771882	0.0781875	0.0763699	0.078446	0.0796271	0.0765255	0.0792009	0.0781941	0.0785995	0.0753267	0.0751952	0.0753807	0.0743306	0.0473155	0.079024	0.0823876	0	0.0754409	0.0753747	0.0763885	0.0477399	0.0755011	0.075725	0.0761164	0.0758163	0.0747333	0.075628	0.0482002	0.0758224	0.047496	0.074348	0.0745984	0.0763885	0.0763948	0.0783264	0.0812997	0.0746804	0.0790511	0.082854	0.0791055	0.0759629
unclassified-kra_subsampled4x_ERR9709225	0.0758773	0.0433054	0.0780821	0.0746628	0.0771372	0.0749515	0.0773097	0.0770736	0.0753867	0.0772329	0.0766381	0.0769847	0.0730545	0.0734512	0.0727783	0.0724502	0.0448988	0.0781216	0.0818835	0.0754409	0	0.0739791	0.0737282	0.0453714	0.0741976	0.0738762	0.0733726	0.072581	0.0728498	0.0740307	0.0456608	0.0739105	0.045763	0.0728553	0.072905	0.075231	0.0746628	0.0758163	0.0798425	0.0724447	0.0767825	0.0817347	0.0768582	0.0758956
unclassified-kra_subsampled4x_ERR9709226	0.0750879	0.0436662	0.0790104	0.0740882	0.0768456	0.0746687	0.0769467	0.0771372	0.07454	0.0774317	0.0766945	0.0773995	0.0738934	0.0733333	0.0734287	0.0720881	0.0453532	0.0781677	0.0820631	0.0753747	0.0739791	0	0.0738192	0.0451173	0.0739963	0.0724937	0.0738477	0.0736998	0.072385	0.0739734	0.045396	0.0743828	0.0450222	0.0724393	0.0730378	0.0747215	0.075219	0.0757737	0.0800805	0.0718901	0.0771372	0.0814024	0.076991	0.0746863
unclassified-kra_subsampled4x_ERR9709227	0.0759323	0.044142	0.0794752	0.0751892	0.0776642	0.0752549	0.0774253	0.0779575	0.07454	0.0783994	0.0776772	0.0777877	0.0739276	0.0742959	0.0741976	0.0737907	0.0459664	0.0782271	0.0826467	0.0763885	0.0737282	0.0738192	0	0.046608	0.074851	0.0745225	0.0746277	0.0741688	0.0732941	0.0745167	0.0462541	0.0747333	0.0460067	0.0731601	0.07447	0.0753867	0.0755373	0.0767322	0.0810447	0.0731434	0.0770418	0.0819957	0.0784527	0.0759691
unclassified-kra_subsampled4x_ERR9709228	0.047059	0.0248959	0.0519613	0.0468583	0.0496997	0.0475579	0.0495866	0.0491634	0.0470878	0.0502267	0.0482627	0.0491819	0.0450206	0.0459028	0.045809	0.0448334	0.0292297	0.0505293	0.0551708	0.0477399	0.0453714	0.0451173	0.046608	0	0.0461026	0.0461026	0.0455729	0.0448068	0.0448014	0.0461249	0.0298782	0.0465288	0.0295259	0.0447748	0.0453877	0.0472494	0.0468355	0.0483107	0.0527877	0.0442216	0.0490523	0.0538034	0.0493307	0.0477811
unclassified-kra_subsampled4x_ERR9709229	0.0762213	0.0441359	0.0800454	0.0759997	0.0768456	0.0751534	0.0776837	0.0784127	0.0755011	0.0783662	0.0771499	0.0781875	0.0740997	0.0740709	0.0742034	0.0735866	0.0464665	0.0778725	0.0827617	0.0755011	0.0741976	0.0739963	0.074851	0.0461026	0	0.0742727	0.0746453	0.0741054	0.073395	0.075231	0.0465267	0.0754529	0.0455377	0.0737452	0.0736431	0.0762955	0.0750285	0.0764445	0.0809939	0.0733782	0.0778463	0.0822438	0.0773353	0.0763575
unclassified-kra_subsampled4x_ERR9709230	0.0756098	0.0439154	0.0788278	0.074698	0.0771818	0.0742438	0.0767888	0.0775026	0.0753567	0.0773674	0.0773289	0.0778463	0.0739334	0.0735076	0.0731267	0.0731546	0.045232	0.0782801	0.0822061	0.075725	0.0738762	0.0724937	0.0745225	0.0461026	0.0742727	0	0.0737907	0.073768	0.073395	0.0740021	0.0453741	0.0742669	0.0458237	0.072521	0.0734456	0.0753148	0.075628	0.0762584	0.0807055	0.0732103	0.0774768	0.0814759	0.0774253	0.0750404
unclassified-kra_subsampled4x_ERR9709231	0.0753627	0.0428958	0.0791873	0.0741457	0.0777226	0.074798	0.0770291	0.0787134	0.075477	0.0775607	0.0763451	0.0773867	0.0738648	0.0742901	0.0735019	0.0737566	0.0452815	0.0786196	0.0826696	0.0761164	0.0733726	0.0738477	0.0746277	0.0455729	0.0746453	0.0737907	0	0.0735753	0.0730378	0.0739105	0.0453741	0.0744235	0.0454338	0.0734287	0.0724176	0.0753928	0.075634	0.0760918	0.0801509	0.0719274	0.0773033	0.0819732	0.0771436	0.0749692
unclassified-kra_subsampled4x_ERR9709234	0.0754469	0.0437693	0.0787	0.0746863	0.0770418	0.0747156	0.076934	0.0775671	0.0748274	0.0780493	0.0761226	0.0770164	0.0735922	0.0739791	0.0736545	0.0721365	0.0452265	0.0777291	0.0811683	0.0758163	0.072581	0.0736998	0.0741688	0.0448068	0.0741054	0.073768	0.0735753	0	0.0729161	0.0741112	0.0461299	0.073768	0.0457519	0.0717411	0.0722551	0.0743596	0.0750523	0.0758529	0.0801439	0.0721365	0.0758895	0.0821082	0.0772393	0.0753148
unclassified-kra_subsampled4x_ERR9709235	0.075628	0.0435575	0.0789359	0.0740882	0.0759262	0.0739048	0.0763203	0.0774832	0.0745867	0.0768456	0.0761657	0.0768456	0.0731434	0.0736318	0.0734625	0.0720452	0.044382	0.0773033	0.0816235	0.0747333	0.0728498	0.072385	0.0732941	0.0448014	0.073395	0.073395	0.0730378	0.0729161	0	0.0726795	0.0451391	0.0736998	0.0443628	0.0718261	0.0719488	0.0747156	0.0745692	0.0756038	0.0795372	0.0724556	0.0765193	0.0813583	0.07677	0.0749929
unclassified-kra_subsampled4x_ERR9709236	0.0756219	0.04429	0.079634	0.0743538	0.0775155	0.0748628	0.0773931	0.0783331	0.0754228	0.0774188	0.0768203	0.0771308	0.0741515	0.0736545	0.073395	0.0737339	0.0460172	0.0777356	0.0824484	0.075628	0.0740307	0.0739734	0.0745167	0.0461249	0.075231	0.0740021	0.0739105	0.0741112	0.0726795	0	0.0460793	0.0749278	0.0456309	0.0727398	0.0737396	0.0756219	0.0758651	0.0763017	0.0805409	0.0726959	0.0774574	0.0811319	0.0770545	0.0751236
unclassified-kra_subsampled4x_ERR9709238	0.0481338	0.0252597	0.0518143	0.0469001	0.0485099	0.0472548	0.0494719	0.0505839	0.0467962	0.0503881	0.048749	0.04939	0.0459112	0.0463333	0.0464299	0.0448629	0.0293697	0.0501871	0.0543719	0.0482002	0.0456608	0.045396	0.0462541	0.0298782	0.0465267	0.0453741	0.0453741	0.0461299	0.0451391	0.0460793	0	0.0469695	0.0302982	0.0452372	0.0449925	0.0475134	0.0469579	0.0479595	0.0531477	0.0454235	0.0500774	0.053255	0.0498018	0.0482606
unclassified-kra_subsampled4x_ERR9709240	0.0759568	0.0452703	0.0798007	0.0752669	0.0773995	0.0756947	0.0774897	0.0789901	0.075489	0.0781414	0.0772329	0.078069	0.0743306	0.0738591	0.0746453	0.0739734	0.045854	0.0774768	0.0820481	0.0758224	0.0739105	0.0743828	0.0747333	0.0465288	0.0754529	0.0742669	0.0744235	0.073768	0.0736998	0.0749278	0.0469695	0	0.0463199	0.0738021	0.0733838	0.0751952	0.0756704	0.0760427	0.0809432	0.0739391	0.0767762	0.0819358	0.077879	0.0762151
unclassified-kra_subsampled4x_ERR9709241	0.0478968	0.0242401	0.0510109	0.0469854	0.0493441	0.0471237	0.0499232	0.049955	0.0469739	0.04979	0.0484297	0.0497205	0.0448773	0.0455048	0.0455267	0.0448346	0.0282526	0.0498154	0.0537585	0.047496	0.045763	0.0450222	0.0460067	0.0295259	0.0455377	0.0458237	0.0454338	0.0457519	0.0443628	0.0456309	0.0302982	0.0463199	0	0.0443996	0.0444418	0.0476192	0.0469394	0.0485994	0.0517859	0.0439297	0.0485266	0.0540127	0.0493005	0.0473733
unclassified-kra_subsampled4x_ERR9709242	0.0742901	0.0431563	0.078526	0.0739906	0.0762398	0.0736318	0.0763823	0.0767134	0.0740709	0.0773225	0.0766193	0.0768771	0.0724556	0.0723796	0.0724992	0.0717995	0.0440425	0.0770736	0.0818164	0.074348	0.0728553	0.0724393	0.0731601	0.0447748	0.0737452	0.072521	0.0734287	0.0717411	0.0718261	0.0727398	0.0452372	0.0738021	0.0443996	0	0.0717251	0.0739048	0.0736148	0.0748215	0.0798007	0.0711318	0.0762831	0.0815349	0.0773674	0.0745984
unclassified-kra_subsampled4x_ERR9709243	0.0747333	0.0431682	0.0793652	0.0737282	0.0764881	0.0742091	0.0765193	0.077593	0.0746101	0.0772585	0.0761103	0.0770545	0.072581	0.0734906	0.0727563	0.0723146	0.0450131	0.0770037	0.0823724	0.0745984	0.072905	0.0730378	0.07447	0.0453877	0.0736431	0.0734456	0.0724176	0.0722551	0.0719488	0.0737396	0.0449925	0.0733838	0.0444418	0.0717251	0	0.0743306	0.0746687	0.0755433	0.0795856	0.0720344	0.0766005	0.0813583	0.0775542	0.0749101
unclassified-kra_subsampled4x_ERR9709244	0.0769783	0.0452065	0.0795787	0.075483	0.0779706	0.0757007	0.0776124	0.0790579	0.0755132	0.0783331	0.0774897	0.0778203	0.0748333	0.0741457	0.0748451	0.0745634	0.0468531	0.078546	0.0834845	0.0763885	0.075231	0.0747215	0.0753867	0.0472494	0.0762955	0.0753148	0.0753928	0.0743596	0.0747156	0.0756219	0.0475134	0.0751952	0.0476192	0.0739048	0.0743306	0	0.0759446	0.0772521	0.0809794	0.0738819	0.0775607	0.0820331	0.0790375	0.0763699
unclassified-kra_subsampled4x_ERR9709245	0.0762646	0.0447635	0.0794339	0.0767071	0.077964	0.0763761	0.0788009	0.0787672	0.0759262	0.0793377	0.0777032	0.0786062	0.0758285	0.0741515	0.0751415	0.0738705	0.047233	0.078566	0.0832339	0.0763948	0.0746628	0.075219	0.0755373	0.0468355	0.0750285	0.075628	0.075634	0.0750523	0.0745692	0.0758651	0.0469579	0.0756704	0.0469394	0.0736148	0.0746687	0.0759446	0	0.0768582	0.0807342	0.0741976	0.0777486	0.0817718	0.0783198	0.0766068
unclassified-kra_subsampled4x_ERR9709246	0.0774381	0.047014	0.0805838	0.0769214	0.0783928	0.0770164	0.0789968	0.0800876	0.0769403	0.0799753	0.0783198	0.0796271	0.0763513	0.0758224	0.0757859	0.0758834	0.0488288	0.0799683	0.0836739	0.0783264	0.0758163	0.0757737	0.0767322	0.0483107	0.0764445	0.0762584	0.0760918	0.0758529	0.0756038	0.0763017	0.0479595	0.0760427	0.0485994	0.0748215	0.0755433	0.0772521	0.0768582	0	0.0814244	0.0753447	0.078566	0.0831482	0.0793926	0.0778594
unclassified-kra_subsampled4x_ERR9709247	0.0813877	0.0499983	0.0833276	0.0804056	0.0822136	0.0800244	0.0819657	0.0827847	0.0801509	0.0821082	0.0819209	0.0819732	0.0806911	0.0801227	0.0799893	0.0794821	0.0517305	0.0825245	0.0861462	0.0812997	0.0798425	0.0800805	0.0810447	0.0527877	0.0809939	0.0807055	0.0801509	0.0801439	0.0795372	0.0805409	0.0531477	0.0809432	0.0517859	0.0798007	0.0795856	0.0809794	0.0807342	0.0814244	0	0.0792009	0.0816531	0.0852496	0.0819134	0.0802709
unclassified-kra_subsampled4x_ERR9709248	0.0743596	0.0426551	0.0788886	0.0734063	0.0762213	0.0730989	0.0768456	0.076401	0.0739448	0.0772457	0.0753627	0.0765318	0.0725482	0.0731045	0.0718581	0.0724284	0.0447958	0.0776902	0.0822287	0.0746804	0.0724447	0.0718901	0.0731434	0.0442216	0.0733782	0.0732103	0.0719274	0.0721365	0.0724556	0.0726959	0.0454235	0.0739391	0.0439297	0.0711318	0.0720344	0.0738819	0.0741976	0.0753447	0.0792009	0	0.0761411	0.0810157	0.0767008	0.0745108
unclassified-kra_subsampled4x_ERR9709249	0.0787672	0.0479363	0.0813877	0.077509	0.0792624	0.078446	0.0784993	0.0792761	0.0771882	0.0798565	0.0786531	0.0798146	0.0764819	0.0769657	0.0769657	0.0761781	0.0488412	0.0806696	0.0837294	0.0790511	0.0767825	0.0771372	0.0770418	0.0490523	0.0778463	0.0774768	0.0773033	0.0758895	0.0765193	0.0774574	0.0500774	0.0767762	0.0485266	0.0762831	0.0766005	0.0775607	0.0777486	0.078566	0.0816531	0.0761411	0	0.0836977	0.0798774	0.0779575
unclassified-kra_subsampled4x_ERR9709251	0.0815718	0.0523341	0.0852163	0.0814024	0.0839762	0.0827233	0.0829234	0.0840162	0.0814465	0.0837929	0.0828232	0.0838167	0.0819507	0.0811683	0.0817198	0.0818984	0.0537864	0.0841204	0.0867268	0.082854	0.0817347	0.0814024	0.0819957	0.0538034	0.0822438	0.0814759	0.0819732	0.0821082	0.0813583	0.0811319	0.053255	0.0819358	0.0540127	0.0815349	0.0813583	0.0820331	0.0817718	0.0831482	0.0852496	0.0810157	0.0836977	0	0.0829466	0.0812705
unclassified-kra_subsampled4x_ERR9709252	0.0787134	0.0476095	0.0810882	0.078566	0.0790104	0.0781019	0.079759	0.0804056	0.0782404	0.0800595	0.079489	0.0796202	0.0769214	0.0777877	0.0776967	0.0771691	0.0489844	0.0806195	0.0836028	0.0791055	0.0768582	0.076991	0.0784527	0.0493307	0.0773353	0.0774253	0.0771436	0.0772393	0.07677	0.0770545	0.0498018	0.077879	0.0493005	0.0773674	0.0775542	0.0790375	0.0783198	0.0793926	0.0819134	0.0767008	0.0798774	0.0829466	0	0.0791123
