sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
subsampled_unclassified-kra_D_20_read.hist	histogram	genome-skim	2.99	1087578662	0.81	298.36	0.0021	111
unclassified-kra_A_25_read.hist	histogram	genome-skim	5.42	1180351669	0.73	197.15	0.0018	113
subsampled_unclassified-kra_D_24_read.hist	histogram	genome-skim	3.02	1092564448	0.82	225.07	0.0020	112
subsampled_unclassified-kra_D_32_read.hist	histogram	genome-skim	3.09	1079732928	0.82	183.96	0.0017	113
subsampled_unclassified-kra_D_02_read.hist	histogram	genome-skim	3.11	1078088386	0.82	159.13	0.0019	113
unclassified-kra_A_06_read.hist	histogram	genome-skim	1.39	1189576962	0.61	726.34	0.0052	102
subsampled_unclassified-kra_D_04_read.hist	histogram	genome-skim	3.00	1078636106	0.80	360.38	0.0022	109
subsampled_unclassified-kra_CN_08_read.hist	histogram	genome-skim	2.61	1281967175	0.62	419.28	0.0025	114
subsampled_unclassified-kra_A_08_read.hist	histogram	genome-skim	2.82	1183667514	0.78	283.82	0.0018	114
subsampled_unclassified-kra_F_29_read.hist	histogram	genome-skim	2.98	1107805488	0.84	281.36	0.0026	112
unclassified-kra_A_01_read.hist	histogram	genome-skim	0.85	90975754	1.00	3315.05	0.0333	102
subsampled_unclassified-kra_A_07_read.hist	histogram	genome-skim	3.26	1072777029	0.83	84.22	0.0015	119
subsampled_unclassified-kra_A_13_read.hist	histogram	genome-skim	2.88	1143417157	0.75	218.61	0.0021	113
subsampled_unclassified-kra_CE_11_read.hist	histogram	genome-skim	3.11	1092983303	0.83	86.29	0.0020	115
subsampled_unclassified-kra_D_01_read.hist	histogram	genome-skim	3.08	1099182681	0.75	118.19	0.0020	114
subsampled_unclassified-kra_CN_21_read.hist	histogram	genome-skim	2.49	1319668507	0.64	432.53	0.0021	112
unclassified-kra_A_17_read.hist	histogram	genome-skim	6.73	1268351334	0.66	165.57	0.0023	113
subsampled_unclassified-kra_D_15_read.hist	histogram	genome-skim	2.33	1307707338	0.66	491.25	0.0030	105
subsampled_unclassified-kra_F_22_read.hist	histogram	genome-skim	3.06	1089693712	0.83	140.42	0.0023	113
subsampled_unclassified-kra_CE_14_read.hist	histogram	genome-skim	3.01	1112041802	0.76	152.95	0.0024	114
unclassified-kra_CN_04_read.hist	histogram	genome-skim	0.40	442142200	1.00	2175.58	0.0241	108
unclassified-kra_F_10_read.hist	histogram	genome-skim	2.67	1131953028	0.79	422.55	0.0036	99
unclassified-kra_A_16_read.hist	histogram	genome-skim	4.72	1194772770	0.73	242.75	0.0022	114
subsampled_unclassified-kra_CN_19_read.hist	histogram	genome-skim	2.47	1331572386	0.66	424.44	0.0020	113
subsampled_unclassified-kra_F_20_read.hist	histogram	genome-skim	3.02	1101189464	0.82	205.87	0.0024	113
subsampled_unclassified-kra_CN_23_read.hist	histogram	genome-skim	2.44	1309442942	0.64	450.06	0.0022	110
subsampled_unclassified-kra_F_21_read.hist	histogram	genome-skim	3.01	1100673054	0.81	195.23	0.0024	113
unclassified-kra_F_05_read.hist	histogram	genome-skim	3.24	1113941123	0.76	186.38	0.0031	112
unclassified-kra_F_03_read.hist	histogram	genome-skim	5.18	1183258703	0.68	175.75	0.0033	112
unclassified-kra_CN_25_read.hist	histogram	genome-skim	1.56	957409327	0.83	247.73	0.0038	107
unclassified-kra_F_06_read.hist	histogram	genome-skim	4.85	1051399120	0.80	73.58	0.0029	114
unclassified-kra_D_06_read.hist	histogram	genome-skim	7.14	1331844004	0.54	125.57	0.0022	112
subsampled_unclassified-kra_CE_16_read.hist	histogram	genome-skim	3.03	1091021428	0.82	143.65	0.0034	112
subsampled_unclassified-kra_CN_06_read.hist	histogram	genome-skim	2.53	1298170478	0.67	433.36	0.0022	111
